"table_number","order_id","item_name","quantity","item_price","time_ordered"
"Table 3","UU1qTNyhGFEdVV4EhPH8","Coffee",1,"200","3-16-2023 | 22:22:24"
"Table 3","UU1qTNyhGFEdVV4EhPH8","Strawberry Smoothies",1,"140","3-16-2023 | 22:22:24"
"Table 3","UU1qTNyhGFEdVV4EhPH8","Chocolate Cake",1,"90","3-16-2023 | 22:24:30"
"Table 3","UU1qTNyhGFEdVV4EhPH8","Asparagus",1,"28","3-16-2023 | 22:24:30"
"Table 1","aq1ZbSsdOS1gtk6RAPMy","Asparagus",1,"28","3-16-2023 | 22:40:28"
"Table 1","7QZnCicJZrjylYKsXm7O","Strawberry Cake",1,"56","3-17-2023 | 11:57:05"
"Table 1","7QZnCicJZrjylYKsXm7O","Pork Tonkatsu",1,"135","3-17-2023 | 11:57:08"
"Table 3","I89Ah3noM6ltTmAWtFDY","Coffee",1,"200","3-17-2023 | 12:08:47"
"Table 3","I89Ah3noM6ltTmAWtFDY","Pancake",2,"60","3-17-2023 | 12:08:47"
"Table 5","gBq6q9f58Rf0rDMOOBdR","Beef Steak",1,"280","3-17-2023 | 12:03:58"
"Table 5","gBq6q9f58Rf0rDMOOBdR","Asparagus",1,"28","3-17-2023 | 12:04:55"
"Table 4","wiykpoSRSkI3lEk1v7xR","Pork Tonkatsu",1,"135","3-17-2023 | 11:57:13"
"Table 1","tjWqMcSaNaCCtR1BFfDJ","Coffee",1,"200","3-17-2023 | 12:13:44"
"Table 1","tjWqMcSaNaCCtR1BFfDJ","Fried Chicken",1,"169","3-17-2023 | 12:13:44"
"Table 1","tjWqMcSaNaCCtR1BFfDJ","Fried Chicken",1,"169","3-17-2023 | 12:14:26"
"Table 6","GvWzuUbDo2Yx4rlPAQPK","Pork Tonkatsu",1,"135","3-17-2023 | 12:25:14"
"Table 5","V4fjdpIfiU28Qf9zjkhc","Beef Steak",1,"280","3-17-2023 | 12:20:58"
"Table 2","0cV7jPmTjumhuymgVMd5","Fried Chicken",1,"169","3-17-2023 | 12:41:45"
"Table 2","0cV7jPmTjumhuymgVMd5","Coffee",1,"200","3-17-2023 | 12:41:45"
"Table 2","0cV7jPmTjumhuymgVMd5","Lemonade Juice",1,"58","3-17-2023 | 12:41:45"
"Table 2","0cV7jPmTjumhuymgVMd5","Strawberry Cake",1,"56","3-17-2023 | 12:43:18"
"Table 1","wtb4yCRtFrpyLbngDctO","Coffee",1,"200","3-17-2023 | 14:09:42"
"Table 1","wtb4yCRtFrpyLbngDctO","Chocolate Cake",5,"90","3-17-2023 | 14:10:56"
"Table 5","77abI9CwJStm0UudVogn","Coffee",3,"200","3-17-2023 | 14:18:17"
"Table 1","tk3gx7xGYaFBaV0L7dKy","Asparagus",1,"28","3-17-2023 | 14:28:48"
"Table 2","KwjatxGK7lY9c76iEL2R","Asparagus",1,"28","3-17-2023 | 19:56:37"
"Table 2","KwjatxGK7lY9c76iEL2R","Fried Chicken",1,"169","3-17-2023 | 19:56:37"
"Table 1","bhegIaSQjGmSfwGh6Eb0","Asparagus",1,"28","3-17-2023 | 21:00:57"
"Table 1","bhegIaSQjGmSfwGh6Eb0","Asparagus",1,"28","3-17-2023 | 21:05:57"
"Table 3","vRC20kIJYHJD3nc8AON4","Asparagus",2,"28","3-17-2023 | 21:34:39"
"Table 3","vRC20kIJYHJD3nc8AON4","Pork Tonkatsu",1,"135","3-17-2023 | 21:34:39"
"Table 1","LiYFLHorUjwTB3QpelzA","Asparagus",1,"28","3-20-2023 | 01:31:11"
"Table 1","LiYFLHorUjwTB3QpelzA","Pork Tonkatsu",1,"135","3-20-2023 | 01:31:11"
"Table 1","LiYFLHorUjwTB3QpelzA","Coffee",1,"200","3-20-2023 | 01:31:11"
"Table 1","LiYFLHorUjwTB3QpelzA","Chocolate Cake",1,"90","3-20-2023 | 01:31:11"
"Table 1","LiYFLHorUjwTB3QpelzA","Tomatoes Caprese",1,"30","3-20-2023 | 01:31:11"
"Table 1","992GwUvGLYBVaqGZqAfx","Asparagus",1,"28","3-20-2023 | 02:41:29"
"Table 1","BmvsbFpgpnvX0O4ZykPB","Asparagus",1,"28","3-20-2023 | 03:35:29"
"Table 2","HGeDClSzeyG4wDols8vl","Asparagus",1,"28","3-20-2023 | 08:13:08"
"Table 2","HGeDClSzeyG4wDols8vl","Fried Chicken",1,"169","3-20-2023 | 08:13:08"
"Table 2","HGeDClSzeyG4wDols8vl","Strawberry Smoothies",1,"140","3-20-2023 | 08:13:08"
"Table 2","HGeDClSzeyG4wDols8vl","Chocolate Cake",1,"90","3-20-2023 | 08:13:08"
"Table 2","HGeDClSzeyG4wDols8vl","French Fries",1,"60","3-20-2023 | 08:13:08"
"Table 2","AI6pOMJvScsZmlsqDYgN","Fried Chicken",1,"169","3-20-2023 | 08:16:28"
"Table 5","QPyWgkzMKZcNo01GnYqD","Pork Tonkatsu",1,"135","3-20-2023 | 08:20:25"
"Table 5","QPyWgkzMKZcNo01GnYqD","Coffee",1,"200","3-20-2023 | 08:20:25"
"Table 5","QPyWgkzMKZcNo01GnYqD","Strawberry Cake",1,"56","3-20-2023 | 08:20:25"
"Table 10","Q191yijQTbwX6NfOnEAq","Asparagus",2,"28","3-20-2023 | 14:54:25"
"Table 10","Q191yijQTbwX6NfOnEAq","French Fries",1,"60","3-20-2023 | 14:54:25"
"Table 10","Q191yijQTbwX6NfOnEAq","Tomatoes Caprese",1,"30","3-20-2023 | 14:54:25"
"Table 10","Q191yijQTbwX6NfOnEAq","Canape",1,"40","3-20-2023 | 14:54:25"
"Table 10","Q191yijQTbwX6NfOnEAq","Chocolate Cake",1,"90","3-20-2023 | 14:54:25"
"Table 10","Q191yijQTbwX6NfOnEAq","Strawberry Cake",1,"56","3-20-2023 | 14:54:25"
"Table 10","Q191yijQTbwX6NfOnEAq","Asparagus",16,"28","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Fried Chicken",3,"169","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Pork Tonkatsu",5,"135","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Beef Steak",3,"280","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Salmon Belly",3,"160","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","French Fries",2,"60","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Tomatoes Caprese",2,"30","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Canape",1,"40","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Lemonade Juice",1,"58","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Chocolate Cake",2,"90","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Strawberry Cake",2,"56","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Muffin Cupcake",1,"59","3-20-2023 | 17:15:45"
"Table 10","Q191yijQTbwX6NfOnEAq","Asparagus",1,"28","3-20-2023 | 17:17:27"
"Table 10","Q191yijQTbwX6NfOnEAq","Asparagus",1,"28","3-20-2023 | 17:18:56"
"Table 10","Q191yijQTbwX6NfOnEAq","Lemonade Juice",1,"58","3-20-2023 | 19:06:17"
"Table 10","Q191yijQTbwX6NfOnEAq","Fried Chicken",1,"169","3-20-2023 | 19:19:59"
"Table 10","Q191yijQTbwX6NfOnEAq","Pork Tonkatsu",1,"135","3-20-2023 | 19:20:19"
"Table 10","Q191yijQTbwX6NfOnEAq","Pork Tonkatsu",1,"135","3-20-2023 | 19:26:21"
"Table 10","Q191yijQTbwX6NfOnEAq","Coffee",16,"200","3-20-2023 | 19:27:20"
"Table 10","Q191yijQTbwX6NfOnEAq","Fried Chicken",1,"169","3-20-2023 | 19:28:00"
"Table 10","Q191yijQTbwX6NfOnEAq","Lemonade Juice",1,"58","3-20-2023 | 19:32:35"
"Table 10","Q191yijQTbwX6NfOnEAq","Fried Chicken",1,"169","3-20-2023 | 19:35:04"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Pork Tonkatsu",1,"135","3-20-2023 | 21:07:30"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Pork Tonkatsu",1,"135","3-20-2023 | 21:15:28"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Fried Chicken",1,"169","3-20-2023 | 21:15:28"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Beef Steak",1,"280","3-20-2023 | 21:15:28"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Salmon Belly",1,"160","3-20-2023 | 21:15:28"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Adobong Taylor",5,"51","3-21-2023 | 01:09:47"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Nilagang Taylor",2,"6","3-21-2023 | 01:09:47"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Adobong Taylor",4,"51","3-21-2023 | 02:02:34"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Nilagang Taylor",5,"6","3-21-2023 | 02:02:34"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Nilagang Taylor",12,"6","3-21-2023 | 02:09:12"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Adobong Taylor",12,"51","3-21-2023 | 02:09:12"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Nilagang Taylor",3,"6","3-21-2023 | 02:09:44"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Reputation",1,"2017","3-21-2023 | 02:38:31"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Lover",1,"2019","3-21-2023 | 02:38:31"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","1989",2,"1989","3-21-2023 | 02:38:31"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Red",2,"2012","3-21-2023 | 02:38:31"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Speak Now",2,"2010","3-21-2023 | 02:38:31"
"Table 5","iGEJ1qrXXCIUOjIqkYf5","Fearless",2,"2008","3-21-2023 | 02:38:31"
"Table 6","5ArTKlti3xDZUmRHrGZk","Speak Now",1,"2010","3-25-2023 | 14:37:54"
"Table 6","5ArTKlti3xDZUmRHrGZk","Fearless",1,"2008","3-25-2023 | 14:40:01"
"Table 6","5ArTKlti3xDZUmRHrGZk","1989",1,"1989","3-25-2023 | 14:42:02"
"Table 6","13DoN1E3ngcFZdrdOrDO","Speak Now",1,"2010","3-25-2023 | 15:09:36"
"Table 1","mSgXQSrrUlPcLYbgtTi4","Speak Now",1,"2010","3-25-2023 | 22:33:48"
"Table 2","LpsLwc0VKhwYzlYsFbIZ","Orange Juice",2,"23","3-25-2023 | 22:44:02"
"Table 2","LpsLwc0VKhwYzlYsFbIZ","Speak Now",1,"2010","3-25-2023 | 22:44:02"
"Table 3","Lm48ZxO7Oh2j67mAW6ux","Speak Now",1,"2010","3-25-2023 | 22:50:45"
"Table 3","Lm48ZxO7Oh2j67mAW6ux","Orange Juice",1,"23","3-25-2023 | 22:50:45"
"Table 3","Lm48ZxO7Oh2j67mAW6ux","Orange Juice",1,"23","3-25-2023 | 22:52:04"
"Table 3","Lm48ZxO7Oh2j67mAW6ux","Speak Now",1,"2010","3-25-2023 | 22:52:04"
"Table 3","Lm48ZxO7Oh2j67mAW6ux","Orange Juice",1,"23","3-25-2023 | 22:55:18"
"Table 3","Lm48ZxO7Oh2j67mAW6ux","Speak Now",1,"2010","3-25-2023 | 22:55:18"
"Table 1","7VBkvOiex4dslPLZO0DK","Speak Now",1,"2010","3-25-2023 | 22:57:41"
"Table 1","7VBkvOiex4dslPLZO0DK","Orange Juice",3,"23","3-25-2023 | 22:57:41"
"Table 3","O2vwe3sHCUmWLEHdb5CU","tyasegagwaw",10,"123","3-26-2023 | 02:13:55"
"Table 1","GlQf3dmlebJlYSs2CUdK","Fries",1,"150","3-26-2023 | 02:16:14"
"Table 1","drNTl1ITvEoR8msYccLZ","Canape (DO NOT DELETE)",1,"22","3-26-2023 | 14:04:23"
"Table 2","s90z0ZWV12GrgGu6NFCE","Canape (DO NOT DELETE)",1,"22","3-26-2023 | 16:16:25"
"Table 2","YBLERED70PFVTuuYedHa","Canape (DO NOT DELETE AND EDIT)",1,"22","3-26-2023 | 18:21:50"
"Table 1","dVGX3R7AeSMsXz4SWGaa","Fried Chicken",1,"4","3-26-2023 | 22:08:33"
"Table sdfd","6rVBAt80J0cAnPxUGN01","Canape (DO NOT DELETE AND EDIT)",3,"22","3-26-2023 | 18:42:07"
"Table sdfd","6rVBAt80J0cAnPxUGN01","Fried Chicken",1,"4","3-26-2023 | 18:42:07"
"Table 1","lflVFgxCyepjY12ZZMsZ","Canape (DO NOT DELETE AND EDIT)",1,"22","3-26-2023 | 23:23:03"
"Table 1","lflVFgxCyepjY12ZZMsZ","Fried Chicken",1,"4","3-26-2023 | 23:23:03"
"Table 2","DwPLcs9vXPIhAXaLMp2p","Canape (DO NOT DELETE AND EDIT)",2,"22","3-26-2023 | 23:32:21"
"Table 1","jcb7oquGbb8LWkApX42m","Canape (DO NOT DELETE AND EDIT)",1,"22","3-27-2023 | 10:46:05"
"Table sdfd","8kInvPxy7GC1J4I1LMhe","Canape (DO NOT DELETE AND EDIT)",4,"22","3-27-2023 | 20:38:37"
"Table sdfd","8kInvPxy7GC1J4I1LMhe","Fried Chicken",4,"4","3-27-2023 | 20:38:37"
"Table 1","GCYSPXmb6yQIfMZcX9SL","Canape (DO NOT DELETE AND EDIT)",1,"22","3-28-2023 | 03:49:51"
"Table 2","So5PWWEHZuBcdFJLUpq6","Canape (DO NOT DELETE AND EDIT)",3,"22","3-28-2023 | 04:32:22"
"Table 2","So5PWWEHZuBcdFJLUpq6","Fried Chicken",1,"4","3-28-2023 | 04:32:42"
"Table sdfd","LDseYdDF8NXCjLVs2IxO","Fried Chicken",15,"4","3-28-2023 | 04:35:52"
"Table 1","aUA0c9KYAizddN4x9jwQ","Canape (DO NOT DELETE AND EDIT)",1,"22","3-28-2023 | 04:49:32"
"Table 1","aUA0c9KYAizddN4x9jwQ","Fried Chicken",1,"4","3-28-2023 | 04:49:32"
"Table 1","jzCzCZsWj69kceg1ZD1q","Fried Chicken",2,"4","3-28-2023 | 23:17:39"
"Table 1","jzCzCZsWj69kceg1ZD1q","Canape (DO NOT DELETE AND EDIT)",1,"22","3-28-2023 | 23:17:39"
"Table 1","jzCzCZsWj69kceg1ZD1q","Canape (DO NOT DELETE AND EDIT)",1,"22","3-28-2023 | 23:54:12"
"Table 1","jzCzCZsWj69kceg1ZD1q","Fried Chicken",1,"4","3-28-2023 | 23:54:12"
"Table 1","lVPMBZNH2O9Y3t1fhjhU","Canape (DO NOT DELETE AND EDIT)",1,"22","3-29-2023 | 16:17:40"
"Table sdfd","UGDelQJKZGZBXSFEI8K1","Canape (DO NOT DELETE AND EDIT)",3,"22","3-29-2023 | 16:36:23"
"Table sdfd","UGDelQJKZGZBXSFEI8K1","Fried Chicken",2,"4","3-29-2023 | 16:36:23"
"Table sdfd","UGDelQJKZGZBXSFEI8K1","Canape (DO NOT DELETE AND EDIT)",1,"22","3-29-2023 | 16:38:21"
"Table 1","YZ76IA2VgmRYhpgEtVJp","Canape (DO NOT DELETE AND EDIT)",1,"22","3-29-2023 | 16:58:49"
"Table 1","ltnyWqPJYQol4KSe0buQ","Canape (DO NOT DELETE AND EDIT)",1,"22","3-29-2023 | 17:33:29"
"Table 5","nv7rpVvxxZrDSwzh9FvG","Canape (DO NOT DELETE AND EDIT)",1,"22","3-29-2023 | 17:36:12"
"Table 5","nv7rpVvxxZrDSwzh9FvG","Fried Chicken",1,"4","3-29-2023 | 17:36:12"
"Table 1","jiGCdopbxOf4Z3WtYAXT","Fried Chicken",1,"4","3-29-2023 | 10:23:06"
"Table 2","atBY8aYuFltHyA2ZXYHi","Canape (DO NOT DELETE AND EDIT)",1,"22","3-29-2023 | 18:24:29"
"Table 1","uwDTWOcpXnK6epcZaBBF","Canape (DO NOT DELETE AND EDIT)",1,"22","3-29-2023 | 22:28:15"
"Table 1","GsmES3JHinX98TS8sJ9c","Fried Chicken",1,"4","3-29-2023 | 23:05:38"
"Table 1","GsmES3JHinX98TS8sJ9c","Canape (DO NOT DELETE AND EDIT)",1,"22","3-29-2023 | 23:06:35"
"Table 2","5ptlbvCwLM5QhqUNt0y4","Canape (DO NOT DELETE AND EDIT)",1,"22","3-30-2023 | 00:39:00"
"Table 2","5ptlbvCwLM5QhqUNt0y4","Fried Chicken",1,"4","3-30-2023 | 00:39:00"
"Table 3","sE5MbDZNGzxtCmeXLgax","Canape (DO NOT DELETE AND EDIT)",4,"22","3-30-2023 | 00:44:34"
"Table 3","sE5MbDZNGzxtCmeXLgax","Fried Chicken",1,"4","3-30-2023 | 00:44:34"
"Table 3","sE5MbDZNGzxtCmeXLgax","Fried Chicken",1,"4","3-30-2023 | 00:44:34"
"Table 3","sE5MbDZNGzxtCmeXLgax","Canape (DO NOT DELETE AND EDIT)",2,"22","3-30-2023 | 00:44:41"
"Table 1","N19VAc2jupuJqE49gWon","Canape (DO NOT DELETE AND EDIT)",1,"22","3-29-2023 | 19:06:58"
"Table 1","N19VAc2jupuJqE49gWon","Fried Chicken",3,"4","3-29-2023 | 19:06:58"
"Table 1","fWU6GuGWI8WGQv9c8rs6","Canape (DO NOT DELETE AND EDIT)",1,"22","3-29-2023 | 20:22:43"
"Table 1","qfEPpX2SgaZz6vsWKM2t","Fried Calamari",1,"320","3-30-2023 | 05:43:56"
"Table 1","qfEPpX2SgaZz6vsWKM2t","Fried Calamari",1,"320","3-30-2023 | 05:44:12"
"Table 1","talVi5GucXAj5jC51KCc","Coffee",2,"120","3-30-2023 | 06:02:32"
"Table 3","qcrq5WUyOo1KO77xuSjH","Fried Calamari",1,"320","3-30-2023 | 06:33:22"
"Table 1","CuzcYGh7LkUJyFfY48J1","Mozzarella Sticks",1,"420","3-30-2023 | 13:57:28"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Mozzarella Sticks",1,"420","3-30-2023 | 16:48:01"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Coffee",1,"120","3-30-2023 | 16:48:01"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Banana Split",1,"290","3-30-2023 | 16:48:01"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Fried Chicken",1,"280","3-30-2023 | 16:48:01"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","French Fries",1,"135","3-30-2023 | 16:48:01"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Bibimbap",1,"190","3-30-2023 | 16:52:45"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Fish & Chips",1,"160","3-30-2023 | 16:52:45"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Cupcake",1,"350","3-30-2023 | 16:53:04"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Bibimbap",1,"190","3-30-2023 | 16:55:01"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Cupcake",1,"350","3-30-2023 | 16:55:01"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Chocolate Cake",1,"99","3-30-2023 | 16:55:01"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Fish & Chips",1,"160","3-30-2023 | 16:59:55"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Mozzarella Sticks",1,"420","3-30-2023 | 16:59:55"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Orange Juice ",3,"75","3-30-2023 | 16:59:55"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Bibimbap",2,"190","3-30-2023 | 17:00:29"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Banana Split",4,"290","3-30-2023 | 17:02:10"
"Table 1","YPzzHg2QZzHdmn7Kg3Xy","Chocolate Milkshake",1,"230","3-30-2023 | 17:09:46"
"Table 2","WyxWjxG6sA20qIZrqa0K","Fried Calamari",1,"320","3-30-2023 | 16:54:34"
"Table 2","WyxWjxG6sA20qIZrqa0K","French Fries",1,"135","3-30-2023 | 16:54:34"
"Table 2","WyxWjxG6sA20qIZrqa0K","Chocolate Milkshake",3,"230","3-30-2023 | 16:54:34"
"Table 2","WyxWjxG6sA20qIZrqa0K","Cupcake",4,"350","3-30-2023 | 16:54:34"
"Table 2","WyxWjxG6sA20qIZrqa0K","Fried Chicken",2,"280","3-30-2023 | 16:54:34"
"Table 3","k2afGSQ5ApOR2H1G2UIn","Fried Calamari",3,"320","3-30-2023 | 16:56:24"
"Table 3","k2afGSQ5ApOR2H1G2UIn","Fried Chicken",2,"280","3-30-2023 | 16:56:24"
"Table 3","k2afGSQ5ApOR2H1G2UIn","Chocolate Cake",4,"99","3-30-2023 | 17:17:51"
"Table 3","k2afGSQ5ApOR2H1G2UIn","Orange Juice ",3,"75","3-30-2023 | 17:17:51"
"Table 1","5ijyVVLkqAJ8P1LASlQM","Fish & Chips",1,"160","3-30-2023 | 21:02:36"
"","","","","",""
"","","most_ordered","quantity"
,,"Fried Chicken","61"
,,"Canape (DO NOT DELETE AND EDIT)","39"
,,"Asparagus","37"
,,"Coffee","30"
,,"Nilagang Taylor","22"
,,"Adobong Taylor","21"
,,"Chocolate Cake","20"
,,"Strawberry Cake","19"
,,"Pork Tonkatsu","19"
,,"Lemonade Juice","16"
,,"Speak Now","10"
,,"tyasegagwaw","10"
,,"Tomatoes Caprese","9"
,,"Orange Juice","9"
,,"Beef Steak","9"
,,"Baked Potatoes","7"
,,"French Fries","7"
,,"Fried Calamari","7"
,,"Cupcake","6"
,,"Orange Juice ","6"
,,"Salmon Belly","5"
,,"Banana Split","5"
,,"Bibimbap","4"
,,"Chocolate Milkshake","4"
,,"1989","3"
,,"Strawberry Smoothies","3"
,,"Fearless","3"
,,"Mozzarella Sticks","3"
,,"Fish & Chips","3"
,,"Pancake","2"
,,"Canape","2"
,,"Red","2"
,,"Canape (DO NOT DELETE)","2"
,,"Muffin Cupcake","1"
,,"Reputation","1"
,,"Lover","1"
,,"Fries","1"
,,"Total Earnings",76425
